From src:'1'	To src:'3'
CHEMBL4468886	6UE
CHEMBL3088231	3HS
CHEMBL564248	H21
CHEMBL280074	OLO
CHEMBL319354	2TL
CHEMBL1234009	LIG
CHEMBL3582189	3XL
CHEMBL3116056	LMM
CHEMBL82304	W01
CHEMBL440394	C1M
CHEMBL1232972	GBC
CHEMBL1867271	S6T
CHEMBL150372	SE2
CHEMBL3126113	LC3
CHEMBL4440481	KL1
CHEMBL1222711	LGX
CHEMBL383189	H64
CHEMBL4519632	69G
CHEMBL1235458	PSG
CHEMBL1615017	IJZ
CHEMBL263881	7LD
CHEMBL4297669	P5S
CHEMBL2152245	DF0
CHEMBL212940	O1C
CHEMBL123678	PFE
CHEMBL349881	4VP
CHEMBL55264	028
CHEMBL1928284	J1A
CHEMBL491841	CRR
CHEMBL225067	SNY
CHEMBL3828743	6EE
CHEMBL308745	BHH
CHEMBL359839	VVM
CHEMBL165058	PVS
CHEMBL382311	IZD
CHEMBL194805	1OH
CHEMBL4589322	GCB
CHEMBL3752536	4QG
CHEMBL2376668	M3K
CHEMBL2407474	1EK
CHEMBL225436	261
CHEMBL2349470	1M7
CHEMBL2334705	1RQ
CHEMBL295666	C2N
CHEMBL3937452	7AY
CHEMBL1505114	9E5
CHEMBL224884	72S
CHEMBL3394386	IVU
CHEMBL559715	SIB
CHEMBL4475378	P6Y
CHEMBL2443237	20F
CHEMBL4521220	KKY
CHEMBL219484	RJ1
CHEMBL1233322	PH2
CHEMBL85433	MYI
CHEMBL15063	ATZ
CHEMBL2179132	0GH
CHEMBL973	A26
CHEMBL319264	6UP
CHEMBL4228384	QC2
CHEMBL2386968	5VN
CHEMBL4557830	78Z
CHEMBL292008	SDL
CHEMBL2337032	IA9
CHEMBL529838	ZYE
CHEMBL3927964	64F
CHEMBL3891221	6VT
CHEMBL3780221	58P
CHEMBL4516124	HKJ
CHEMBL183745	6B5
CHEMBL3274310	4FL
CHEMBL1231783	CHM
CHEMBL1213617	WV7
CHEMBL4451136	JUZ
CHEMBL486133	LBF
CHEMBL3586661	EXI
CHEMBL462990	K4Y
CHEMBL109822	PUX
CHEMBL214830	5BU
CHEMBL1614768	3P1
CHEMBL1256004	45X
CHEMBL176570	PJA
CHEMBL203125	FOM
CHEMBL1201195	4KO
CHEMBL183467	AIU
CHEMBL674	G39
CHEMBL1234930	OCB
CHEMBL3298206	32E
CHEMBL4464663	OSJ
CHEMBL1105	PWY
CHEMBL2364608	2KW
CHEMBL3605056	51W
CHEMBL389988	8CM
CHEMBL3822543	GD5
CHEMBL294809	R46
CHEMBL367263	RU9
CHEMBL3983039	7H2
CHEMBL173521	06Y
CHEMBL20767	GBS
CHEMBL190461	P0T
CHEMBL281540	SDK
CHEMBL46730	PEY
CHEMBL4086173	A4G
CHEMBL3233016	W4N
CHEMBL3358117	7L5
CHEMBL3356986	883
CHEMBL3104526	UDO
CHEMBL3356007	3E4
CHEMBL45412	RRT
CHEMBL48217	DAP
CHEMBL1230958	ALY
CHEMBL4513396	FWM
CHEMBL2205240	XZZ
CHEMBL566948	AX5
CHEMBL555457	14O
CHEMBL1236282	TH8
CHEMBL3108878	X6C
CHEMBL312163	J8G
CHEMBL1709089	F9Z
CHEMBL4101122	QUW
CHEMBL4514021	S43
CHEMBL4079783	8FU
CHEMBL3763508	8HE
CHEMBL4071864	7MJ
CHEMBL661	08H
CHEMBL3237973	B0W
CHEMBL1090356	ITI
CHEMBL2022995	DQ6
CHEMBL113537	CF3
CHEMBL40157	2BW
CHEMBL260747	F27
CHEMBL3678914	5WC
CHEMBL4552922	0WC
CHEMBL578406	GR6
CHEMBL1235380	POF
CHEMBL4439772	9D3
CHEMBL4435392	TGJ
CHEMBL1233448	HU5
CHEMBL242237	859
CHEMBL104166	UI1
CHEMBL4536417	OG7
CHEMBL4574515	NR5
CHEMBL1098407	914
CHEMBL566685	0JJ
CHEMBL710	FIT
CHEMBL3354511	3YR
CHEMBL1233569	IH4
CHEMBL1562	YTX
CHEMBL3780234	EB8
CHEMBL4570249	HFD
CHEMBL4061634	74Q
CHEMBL1229262	S04
CHEMBL269158	VGD
CHEMBL1230763	AAF
